compound,Fsp3,XLogP,MW,LipinskiFailures,nRotB,MLogP,nAtomP,nAtomLC,nB,nBase,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nAcid,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings6,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,VAdjMat,TopoPSA,topoShape,PetitjeanNumber,MDEC.11,MDEC.12,MDEC.13,MDEC.22,MDEC.23,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,khs.sCH3,khs.ssCH2,khs.aaCH,khs.sssCH,khs.dssC,khs.aasC,khs.ssssC,khs.sOH,khs.dO,khs.ssO,khs.sF,khs.dsssP,khs.ddssS,khs.sCl,khs.dssSe,Kier1,Kier2,fragC,FMF,ECCEN,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SCH.6,SCH.7,VCH.6,VCH.7,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,nHBDon,nHBAcc,bpol,apol
"2,4-DCP",0.0,0.415229885,0.099864061,0.0,0.0,0.466666667,0.304347826,0.214285714,0.269230769,0,0.12987013,0.5,0.5,0.457883289,0.100867898,0.289886092,0.0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.223882792,0.24,8.89E-09,0.144927536,0.244320106,0.805106543,0.069991319,0.12133772,0.569929793,0.228226534,0.0,0.0,0.0,0.0,0.0,0.076623296,0.41825266,0.336029505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0.5,0.0,1,0.0,0.0,0.0,0,0,0.333333333,0,0.158119658,0.075402145,0.017505003,0.696969697,0.257055805,0.072511705,0.061779258,0.048556473,0.248976021,0.274068051,0.249571531,0.11070155,0.0,0.02043811,0.0,0.09538971,0.0,0.086868307,0.0,0.222222222,0.554097094,0.25,0.581944957,0,0.333333333,0.0,0.0,0.0,0.0,0.350022889,0.368499488,0.402183468,0.290426229,0.101266348,0.032949995,0.0,0.212247769,0.158705123,0.135701761,1,0.142857143,0.0,0.100510643
"2,5-DCP",0.0,0.415229885,0.099864061,0.0,0.0,0.466666667,0.304347826,0.214285714,0.269230769,0,0.12987013,0.5,0.5,0.457883289,0.100867898,0.289886092,0.0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.223882792,0.24,8.89E-09,0.144927536,0.244320106,0.805106543,0.069991319,0.1212508,0.569929793,0.228226534,0.0,0.0,0.0,0.0,0.0,0.076623296,0.41825266,0.336029505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0.5,0.0,1,0.0,0.0,0.0,0,0,0.333333333,0,0.158119658,0.075402145,0.017505003,0.696969697,0.257055805,0.072511705,0.061779258,0.048556473,0.252152834,0.222458424,0.262079683,0.11070155,0.0,0.02043811,0.0,0.09538971,0.0,0.086868307,0.0,0.222222222,0.554097094,0.25,0.581944957,0,0.333333333,0.0,0.0,0.0,0.0,0.348301042,0.366604607,0.400617359,0.288663303,0.100438956,0.032949995,0.0,0.212247769,0.158705123,0.095022332,1,0.142857143,0.0,0.100510643
pPB,0.3,0.367905891,0.151285846,0.0,0.19047619,0.6,0.434782609,0.5,0.423076923,0,0.285714286,0.5,0.5,0.401786798,0.059269583,0.380196858,0.0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.46314177,0.346666667,3E-08,0.217391304,0.401124572,0.841080044,0.08202322,0.388077202,0.709269236,0.52493231,0.000133556,0.074197737,0.0,0.111868544,0.179536224,0.23363662,0.578829731,0.266706795,0.0,0.0,0.055555556,0.30429031,0.0,0.166666667,0.133333333,0.266666667,0.0,1,0.333333333,0.0,1,0.5,0.166666667,0.0,0,0,0.0,0,0.310650888,0.23553745,0.086050908,0.482517483,0.257055851,0.070068464,0.066394188,0.047816585,0.135877705,0.140247664,0.129786735,0.100646884,0.0,0.014451926,0.0,0.045622852,0.0,0.028551102,0.0,0.272165527,0.356811129,0.288675135,0.234438696,1,0.277777778,0.5,0.166666667,0.083333333,0.0,0.400874593,0.416758166,0.442924667,0.376619366,0.260431063,0.0,0.012331116,0.187577646,0.130924432,0.110549768,1,0.428571429,0.166541028,0.234239089
bPB,0.363636364,0.419001437,0.193221815,0.0,0.238095238,0.633333333,0.434782609,0.571428571,0.461538462,0,0.324675325,0.5,0.5,0.444374947,0.089968919,0.417329666,0.0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.429698062,0.373333333,3.84E-08,0.231884058,0.440314128,0.846790224,0.083143624,0.390303868,0.737350465,0.52493231,0.000333889,0.166944908,0.0,0.12481385,0.150800979,0.302842769,0.594389741,0.266706795,0.0,0.0,0.055555556,0.30429031,0.0,0.166666667,0.2,0.266666667,0.0,1,0.333333333,0.0,1,0.5,0.166666667,0.0,0,0,0.0,0,0.348901099,0.279274933,0.110557912,0.448051948,0.257055866,0.070068464,0.066394188,0.047009207,0.135877705,0.140247664,0.127434147,0.100646884,0.0,0.014451926,0.0,0.045622852,0.0,0.028551102,0.0,0.272165527,0.356811129,0.288675135,0.234438696,1,0.277777778,0.5,0.166666667,0.166666667,0.0,0.441118494,0.455673401,0.477560794,0.40985415,0.295096021,0.003336046,0.023615754,0.199692593,0.138339417,0.121884143,1,0.428571429,0.20032018,0.277250698
BP-3,0.071428571,0.473958333,0.294921861,0.0,0.142857143,0.733333333,0.695652174,0.571428571,0.615384615,0,0.337662338,1.0,1.0,0.463391182,0.105472406,0.511255252,0.0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.36567186,0.52,5.82E-08,0.362318841,0.572551356,0.934366969,0.080428722,0.384908332,0.832579328,0.52493231,0.000333889,0.166944908,0.0,0.09572614,0.367828725,0.413811509,1.0,0.983566341,0.0,0.0,0.083333333,0.215165741,0.0,0.166666667,0.0,0.533333333,0.0,1,0.666666667,0.0,1,0.5,0.166666667,0.0,0,0,0.0,0,0.401234568,0.266923592,0.115348755,0.799465241,0.257055892,0.120974716,0.150381449,0.115896524,0.294263934,0.362112904,0.346926527,0.136181542,0.0,0.033234514,0.0,0.077539125,0.0,0.103556155,0.0,0.555555556,0.581891057,0.583333333,0.433431796,0,0.611111111,1.0,0.0,0.0,0.0,0.672441316,0.741495136,0.863778037,0.807342229,0.631677336,0.013344182,0.068754308,0.27913785,0.207536739,0.211641927,1,0.285714286,0.166541028,0.332119583
TCS,0.0,0.580010776,0.478187771,0.0,0.095238095,0.6,0.608695652,0.571428571,0.615384615,0,0.272727273,1.0,1.0,0.665558864,0.338841052,0.540442559,0.0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.183382132,0.533333333,5.91E-08,0.347826087,0.570017888,0.921503748,0.210911376,0.275227854,0.832579328,0.332355596,0.000333889,0.166944908,0.0,0.0,0.0,0.201801666,0.944620105,1.0,0.0,0.0,0.0,0.175682092,0.0,0.0,0.0,0.4,0.0,0,1.0,0.0,1,0.0,0.166666667,0.0,0,0,0.5,0,0.401234568,0.240321716,0.064680064,0.799465241,0.257055894,0.131340286,0.145174628,0.117183304,0.428635883,0.525023154,0.514996426,0.201293768,0.0,0.028903852,0.0,0.165545679,0.0,0.110575717,0.0,0.444444444,1.0,0.5,1.0,0,0.666666667,0.0,0.0,0.0,0.0,0.782129516,0.857323906,0.999013287,0.883736706,0.647410571,0.087952776,0.131081849,0.433126387,0.307052118,0.32146247,1,0.142857143,0.086758918,0.316603787
Pb,0.0,0.262661638,0.44404714,0.0,0.0,0.266666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.278624707,0.00178226,0.087402124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309072797,0.054086251,0.0,0.0,0.0,0.000333889,0.166944908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.333333333,0,0.0,0.036193029,0.0,0.0,0.257055779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.027547106,0.017967101,0.004789165,0.0,0.0,1.0,1.0,0.069796383,0.0,0.0,0,0.0,0.062218068,0.0
Cu,0.0,0.0,0.089722516,0.0,0.0,0.166666667,0.217391304,0.0,0.076923077,0,0.038961039,0.0,0.0,0.0,0.043337109,0.058097793,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.093333333,0.555555557,0.0,0.089863448,0.216487898,0.205323719,0.438315144,0.262649535,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0,1,0.0,0,0.245192308,0.048257373,0.002216686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291289339,0.436934008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.085973183,0.07229644,0.083253361,0.0,0.0,0.089719997,0.011171392,0.093225047,0.0,0.0,0,0.571428571,0.049116834,0.014570846
Se,0.0,0.137302443,0.129569192,0.0,0.0,0.166666667,0.173913043,0.0,0.038461538,1,0.038961039,0.0,0.0,0.037519021,0.023874613,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.651388111,0.04,1.0,0.0,0.074814653,0.0,0.167685764,0.327862202,0.153640129,0.712883574,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.5,0.0,0.0,0,0,0.0,1,0.525641026,0.410187668,0.003506528,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084087989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135263083,0.14710829,0.028732251,0.0,0.0,0,0.428571429,0.057027013,0.58694928
Cd,0.0,0.262661638,0.16060357,0.0,0.0,0.266666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.278624707,0.00178226,0.087402124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309072797,0.054086251,0.0,0.0,0.0,0.000333889,0.166944908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.333333333,0,0.0,0.036193029,0.0,0.0,0.257055779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.027547106,0.017967101,0.004789165,0.0,0.0,0.299237172,0.474148023,0.069796383,0.0,0.0,0,0.0,0.074577722,0.005561392
