Concentration,Compound,Cytotoxicity
0.1,PFHxS,3.1e-18
5.0,PFHxS,2.94e-07
10.0,PFHxS,2.27e-05
20.0,PFHxS,0.001494304
40.0,PFHxS,0.072978219
80.0,PFHxS,2.049340244
160.0,PFHxS,22.87497088
320.0,PFHxS,75.60950893
640.0,PFHxS,98.03442315
1280.0,PFHxS,99.09822139
2560.0,PFHxS,99.1
0.1,"2,4-DCP",9.64e-16
5.0,"2,4-DCP",1.5e-07
10.0,"2,4-DCP",4.1e-06
20.0,"2,4-DCP",0.000108607
40.0,"2,4-DCP",0.002678214
80.0,"2,4-DCP",0.057508911
160.0,"2,4-DCP",0.948549188
320.0,"2,4-DCP",9.71497016
640.0,"2,4-DCP",46.49969788
1280.0,"2,4-DCP",90.03731301
2560.0,"2,4-DCP",99.77706344
0.1,"2,5-DCP",1.05e-07
5.0,"2,5-DCP",0.000719089
10.0,"2,5-DCP",0.003424995
20.0,"2,5-DCP",0.016221556
40.0,"2,5-DCP",0.075972133
80.0,"2,5-DCP",0.347975196
160.0,"2,5-DCP",1.525460099
320.0,"2,5-DCP",6.142507189
640.0,"2,5-DCP",21.09320675
1280.0,"2,5-DCP",54.92964293
2560.0,"2,5-DCP",95.63021934
0.1,pPB,8.87e-07
5.0,pPB,0.002881795
10.0,pPB,0.012074168
20.0,pPB,0.050575481
40.0,pPB,0.211620118
80.0,pPB,0.881516856
160.0,pPB,3.605063795
320.0,pPB,13.72587132
640.0,pPB,41.59323985
1280.0,pPB,80.69104474
2560.0,pPB,104.0284627
0.1,bPB,0.716388424
5.0,bPB,0.767892344
10.0,bPB,0.824234184
20.0,bPB,0.949500419
40.0,bPB,1.259272067
80.0,bPB,2.207428879
160.0,bPB,6.602863686
320.0,bPB,40.85017545
640.0,bPB,97.77031921
1280.0,bPB,99.21984158
2560.0,bPB,99.22
0.1,Hg,0.001581734
5.0,Hg,2.139447059
10.0,Hg,7.673843915
20.0,Hg,27.51058048
40.0,Hg,98.44244393
80.0,Hg,349.9464876
160.0,Hg,1215.675468
320.0,Hg,3916.175385
640.0,Hg,10283.96951
1280.0,Hg,18808.94126
2560.0,Hg,24461.02415
0.1,Cu,0.328544467
5.0,Cu,9.469558021
10.0,Cu,16.24440413
20.0,Cu,26.55204366
40.0,Cu,40.49468256
80.0,Cu,56.63039581
160.0,Cu,72.25227332
320.0,Cu,84.97107818
640.0,Cu,93.94449104
1280.0,Cu,99.65503265
2560.0,Cu,103.0541245
0.1,Se,8.654748385
5.0,Se,10.27163117
10.0,Se,12.08440859
20.0,Se,16.17225843
40.0,Se,25.84678733
80.0,Se,47.58596086
160.0,Se,80.68946887
320.0,Se,99.91733591
640.0,Se,102.1789112
1280.0,Se,102.1999982
2560.0,Se,102.2
0.1,Pb,3.1e-13
5.0,Pb,1.29e-06
10.0,Pb,1.89e-05
20.0,Pb,0.000271436
40.0,Pb,0.00375353
80.0,Pb,0.048122209
160.0,Pb,0.532775884
320.0,Pb,4.481124073
640.0,Pb,23.38123577
1280.0,Pb,60.88268102
2560.0,Pb,81.40414771
0.1,Mix1,0.010238759
5.0,Mix1,0.013673189
10.0,Mix1,0.018195649
20.0,Mix1,0.031354427
40.0,Mix1,0.084133372
80.0,Mix1,0.427460201
160.0,Mix1,3.910158597
320.0,Mix1,31.52197312
640.0,Mix1,84.7198507
1280.0,Mix1,97.11608217
2560.0,Mix1,97.31995328
0.1,Mix2,0.563552031
5.0,Mix2,0.612032012
10.0,Mix2,0.66577351
20.0,Mix2,0.787709862
40.0,Mix2,1.101866077
80.0,Mix2,2.146628914
160.0,Mix2,7.831965982
320.0,Mix2,55.50857129
640.0,Mix2,97.64985015
1280.0,Mix2,97.97999353
2560.0,Mix2,97.98
0.1,TCS,0.01904602
5.0,TCS,9.880193972
10.0,TCS,25.34207748
20.0,TCS,51.47898346
40.0,TCS,77.36666206
80.0,TCS,92.4499953
160.0,TCS,98.69243901
320.0,TCS,100.9028783
640.0,TCS,101.6414503
1280.0,TCS,101.8833971
2560.0,TCS,101.9621407
0.1,PFNA,9e-85
5.0,PFNA,1.58e-30
10.0,PFNA,1.5500000000000001e-21
20.0,PFNA,2.98e-13
40.0,PFNA,2.91e-06
80.0,PFNA,0.219363503
160.0,PFNA,37.40152353
320.0,PFNA,96.15281944
640.0,PFNA,98.91754215
1280.0,PFNA,98.92
2560.0,PFNA,98.92
0.1,PFOA,1.024742371
5.0,PFOA,1.106278317
10.0,PFOA,1.196087269
20.0,PFOA,1.397847177
40.0,PFOA,1.90709663
80.0,PFOA,3.527125701
160.0,PFOA,11.44016279
320.0,PFOA,61.2679926
640.0,PFOA,98.13926738
1280.0,PFOA,98.51998444
2560.0,PFOA,98.52
0.1,Sb,4.4e-05
5.0,Sb,0.082248734
10.0,Sb,0.306405469
20.0,Sb,1.114736494
40.0,Sb,3.871307851
80.0,Sb,12.29504938
160.0,Sb,33.12678465
320.0,Sb,67.85062826
640.0,Sb,96.79592315
1280.0,Sb,104.5635182
2560.0,Sb,104.8994405
0.1,BP-3,7.17e-05
5.0,BP-3,0.030929599
10.0,BP-3,0.09055895
20.0,BP-3,0.264748122
40.0,BP-3,0.770592859
80.0,BP-3,2.214722125
160.0,BP-3,6.144552998
320.0,BP-3,15.57791069
640.0,BP-3,32.72232377
1280.0,BP-3,52.40532412
2560.0,BP-3,65.94198919
0.1,Co,1.11e-13
5.0,Co,1.68e-06
10.0,Co,3.07e-05
20.0,Co,0.000541804
40.0,Co,0.008996344
80.0,Co,0.132314291
160.0,Co,1.54425545
320.0,Co,11.86927707
640.0,Co,46.8298705
1280.0,Co,83.5765164
2560.0,Co,91.4509054
0.1,Ni,1.08e-34
5.0,Ni,4.24e-15
10.0,Ni,1.04e-11
20.0,Ni,2.04e-08
40.0,Ni,2.58e-05
80.0,Ni,0.014414993
160.0,Ni,1.951968108
320.0,Ni,33.52063377
640.0,Ni,79.45408992
1280.0,Ni,85.13475379
2560.0,Ni,85.16999874
0.1,Zn,1.64e-143
5.0,Zn,5.55e-59
10.0,Zn,1.4e-44
20.0,Zn,7.5300000000000015e-31
40.0,Zn,2.13e-18
80.0,Zn,3.11e-08
160.0,Zn,0.121722443
320.0,Zn,44.65085612
640.0,Zn,97.09618019
1280.0,Zn,98.28970745
2560.0,Zn,98.29
0.1,Cu.1,0.328544467
