"compound","Fsp3","XLogP","MW","LipinskiFailures","nRotB","MLogP","nAtomP","nAtomLC","nB","nBase","nAtom","nAromBond","naAromAtom","ALogP","ALogp2","AMR","nAcid","nSmallRings","nAromRings","nRingBlocks","nAromBlocks","nRings6","tpsaEfficiency","Zagreb","WPATH","WPOL","WTPT.1","WTPT.2","WTPT.3","WTPT.4","VAdjMat","TopoPSA","topoShape","PetitjeanNumber","MDEC.11","MDEC.12","MDEC.13","MDEC.22","MDEC.23","MDEC.33","MDEC.34","MDEC.44","MDEO.11","MDEO.12","MDEO.22","khs.sCH3","khs.ssCH2","khs.aaCH","khs.sssCH","khs.dssC","khs.aasC","khs.ssssC","khs.sOH","khs.dO","khs.ssO","khs.sF","khs.dsssP","khs.ddssS","khs.sCl","khs.dssSe","Kier1","Kier2","fragC","FMF","ECCEN","SPC.4","SPC.5","SPC.6","VPC.4","VPC.5","VPC.6","SC.3","SC.4","SC.5","SC.6","VC.3","VC.4","VC.5","VC.6","SCH.6","SCH.7","VCH.6","VCH.7","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","ATSp1","ATSp2","ATSp3","ATSp4","ATSp5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","nHBDon","nHBAcc","bpol","apol"
"2,4-DCP","0","0.415229885057471","0.0998640611798712","0","0","0.466666666666667","0.304347826086957","0.214285714285714","0.269230769230769","0","0.12987012987013","0.5","0.5","0.457883288678946","0.100867898236888","0.289886091620624","0","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.223882791856705","0.24","8.88888889283951e-09","0.144927536231884","0.244320105891621","0.805106543486756","0.0699913194177589","0.121337719886927","0.569929792694405","0.228226534296029","0","0","0","0","0","0.0766232955366697","0.418252660108896","0.33602950467378","0","0","0","0","0","0","0","0.2","0","0","0.5","0","1","0","0","0","0","0","0.333333333333333","0","0.158119658119658","0.075402144772118","0.0175050027455215","0.696969696969697","0.257055805332874","0.0725117048367489","0.0617792583240812","0.0485564732844949","0.248976020953218","0.274068050535513","0.249571530830733","0.110701550123438","0","0.020438110005667","0","0.0953897099087344","0","0.086868306556603","0","0.222222222222222","0.554097093777194","0.25","0.581944956643697","0","0.333333333333333","0","0","0","0","0.350022889244164","0.368499488061864","0.402183468323272","0.290426228922147","0.101266347637392","0.0329499947836637","0","0.212247768681589","0.158705122894169","0.135701761017583","1","0.142857142857143","0","0.100510642814432"
"2,5-DCP","0","0.415229885057471","0.0998640611798712","0","0","0.466666666666667","0.304347826086957","0.214285714285714","0.269230769230769","0","0.12987012987013","0.5","0.5","0.457883288678946","0.100867898236888","0.289886091620624","0","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.223882791856705","0.24","8.88888889283951e-09","0.144927536231884","0.244320105891621","0.805106543486756","0.0699913194177589","0.121250799723754","0.569929792694405","0.228226534296029","0","0","0","0","0","0.0766232955366697","0.418252660108896","0.33602950467378","0","0","0","0","0","0","0","0.2","0","0","0.5","0","1","0","0","0","0","0","0.333333333333333","0","0.158119658119658","0.075402144772118","0.0175050027455215","0.696969696969697","0.257055805332874","0.0725117048367489","0.0617792583240812","0.0485564732844949","0.252152833957024","0.222458424499901","0.262079682699712","0.110701550123438","0","0.020438110005667","0","0.0953897099087344","0","0.086868306556603","0","0.222222222222222","0.554097093777194","0.25","0.581944956643697","0","0.333333333333333","0","0","0","0","0.348301041931686","0.366604606947812","0.400617358671521","0.288663303145394","0.100438955722944","0.0329499947836637","0","0.212247768681589","0.158705122894169","0.0950223322645819","1","0.142857142857143","0","0.100510642814432"
"pPB","0.3","0.367905890804598","0.151285845724244","0","0.19047619047619","0.6","0.434782608695652","0.5","0.423076923076923","0","0.285714285714286","0.5","0.5","0.401786797860324","0.0592695829971611","0.380196857955912","0","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.463141769906785","0.346666666666667","3.00000000133333e-08","0.217391304347826","0.401124572169389","0.841080043604665","0.0820232200931749","0.388077202047931","0.709269236365728","0.524932310469314","0.000133555792899128","0.0741977368452769","0","0.111868543869996","0.179536224169324","0.233636619923755","0.578829730734944","0.266706794605756","0","0","0.0555555555555555","0.304290309725092","0","0.166666666666667","0.133333333333333","0.266666666666667","0","1","0.333333333333333","0","1","0.5","0.166666666666667","0","0","0","0","0","0.310650887573964","0.235537449731903","0.0860509082332477","0.482517482517483","0.25705585108516","0.0700684637529418","0.0663941884951304","0.0478165850713486","0.135877705266682","0.140247664013822","0.129786735498784","0.100646883898231","0","0.0144519261796437","0","0.0456228520152851","0","0.0285511017895344","0","0.272165526975909","0.356811128767405","0.288675134594813","0.234438695811552","1","0.277777777777778","0.5","0.166666666666667","0.0833333333333333","0","0.400874592889137","0.41675816617432","0.4429246669876","0.37661936630887","0.260431062505111","0","0.0123311155863401","0.187577646146321","0.130924431564453","0.110549767949867","1","0.428571428571429","0.166541028204901","0.234239088928363"
"bPB","0.363636363636364","0.419001436781609","0.193221815411536","0","0.238095238095238","0.633333333333333","0.434782608695652","0.571428571428571","0.461538461538462","0","0.324675324675325","0.5","0.5","0.444374947488307","0.0899689192422059","0.417329666054916","0","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.429698061508025","0.373333333333333","3.84444444615309e-08","0.231884057971014","0.440314128042311","0.846790223673655","0.0831436240993252","0.390303868078857","0.737350464962806","0.524932310469314","0.00033388948224782","0.166944907901873","0","0.124813850039529","0.150800978699717","0.302842769071753","0.594389741054369","0.266706794605756","0","0","0.0555555555555555","0.304290309725092","0","0.166666666666667","0.2","0.266666666666667","0","1","0.333333333333333","0","1","0.5","0.166666666666667","0","0","0","0","0","0.348901098901099","0.279274933439706","0.110557912076978","0.448051948051948","0.257055865900186","0.0700684637529418","0.0663941884951304","0.047009207181286","0.135877705266682","0.140247664013822","0.127434147131661","0.100646883898231","0","0.0144519261796437","0","0.0456228520152851","0","0.0285511017895344","0","0.272165526975909","0.356811128767405","0.288675134594813","0.234438695811552","1","0.277777777777778","0.5","0.166666666666667","0.166666666666667","0","0.44111849374307","0.455673401266844","0.477560793991105","0.409854150261379","0.295096021307591","0.00333604560143468","0.0236157541377814","0.199692593415653","0.138339416583256","0.121884143253119","1","0.428571428571429","0.200320179936792","0.277250697652257"
"BP-3","0.0714285714285714","0.473958333333333","0.294921860585632","0","0.142857142857143","0.733333333333333","0.695652173913043","0.571428571428571","0.615384615384615","0","0.337662337662338","1","1","0.463391181769807","0.105472405962932","0.511255251939768","0","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.365671859824428","0.52","5.82222222480988e-08","0.36231884057971","0.572551356211043","0.934366968659383","0.0804287220795462","0.384908332119016","0.832579327731598","0.524932310469314","0.00033388948224782","0.166944907901873","0","0.0957261401645585","0.367828724727344","0.413811508782515","1","0.983566340577405","0","0","0.0833333333333333","0.215165741455968","0","0.166666666666667","0","0.533333333333333","0","1","0.666666666666667","0","1","0.5","0.166666666666667","0","0","0","0","0","0.401234567901235","0.266923592493298","0.115348754933647","0.799465240641711","0.257055892044349","0.120974715630677","0.150381448981472","0.115896524459938","0.294263933912308","0.362112904364568","0.346926527070998","0.13618154179805","0","0.0332345140800938","0","0.0775391252064195","0","0.103556154678251","0","0.555555555555556","0.581891057282146","0.583333333333333","0.43343179556975","0","0.611111111111111","1","0","0","0","0.672441316003735","0.741495136289391","0.863778037394502","0.807342229086521","0.63167733584525","0.0133441824057387","0.0687543083435468","0.279137849565201","0.207536738787779","0.211641926650161","1","0.285714285714286","0.166541028204901","0.332119582768267"
"TCS","0","0.580010775862069","0.478187771044343","0","0.0952380952380952","0.6","0.608695652173913","0.571428571428571","0.615384615384615","0","0.272727272727273","1","1","0.665558864440482","0.338841052231168","0.540442559153427","0","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.183382131884731","0.533333333333333","5.91111111373827e-08","0.347826086956522","0.570017887731837","0.9215037481059","0.210911376242627","0.275227854378053","0.832579327731598","0.33235559566787","0.00033388948224782","0.166944907901873","0","0","0","0.201801665993339","0.944620105050425","1","0","0","0","0.175682092231577","0","0","0","0.4","0","0","1","0","1","0","0.166666666666667","0","0","0","0.5","0","0.401234567901235","0.240321715817694","0.0646800638287679","0.799465240641711","0.257055893787294","0.131340286436867","0.145174627719278","0.117183303527971","0.428635883309842","0.525023153898572","0.514996425613865","0.201293767796462","0","0.0289038523592875","0","0.165545678743526","0","0.110575716705717","0","0.444444444444444","1","0.5","1","0","0.666666666666667","0","0","0","0","0.782129516023524","0.857323905807242","0.999013287080219","0.883736706475496","0.647410571137672","0.0879527762287697","0.131081849019896","0.433126387106278","0.307052117697816","0.321462469697239","1","0.142857142857143","0.0867589184060266","0.316603786559738"
"Pb","0","0.262661637931035","0.444047140297004","0","0","0.266666666666667","0","0","0","0","0","0","0","0.278624707101448","0.00178225991165395","0.087402123857809","0","0","0","0","0","0","0","0","0","0","0","0.309072796798754","0.0540862511565904","0","0","0","0.00033388948224782","0.166944907901873","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333333333333333","0","0","0.0361930294906166","0","0","0.257055778752975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0275471058433595","0.0179671006083751","0.00478916460254393","0","0","1","1","0.0697963830459673","0","0","0","0","0.062218067593065","0"
"Cu","0","0","0.0897225158245859","0","0","0.166666666666667","0.217391304347826","0","0.0769230769230769","0","0.038961038961039","0","0","0","0.0433371093856858","0.0580977930150614","1","0","0","0","0","0","1","0.0933333333333333","0.555555556580247","0","0.0898634483826888","0.216487898347813","0.205323718871101","0.438315143590445","0.262649535037194","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0.245192307692308","0.0482573726541555","0.0022166861371434","0","0","0","0","0","0","0","0","0.291289338792372","0.436934008188558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0859731831293872","0.0722964395382809","0.0832533606992731","0","0","0.089719997136766","0.0111713921322639","0.0932250471318951","0","0","0","0.571428571428571","0.0491168339435166","0.0145708462420765"
"Se","0","0.137302442528736","0.129569192032827","0","0","0.166666666666667","0.173913043478261","0","0.0384615384615385","1","0.038961038961039","0","0","0.0375190209019875","0.023874612933869","0","1","0","0","0","0","0","0.651388110690476","0.04","1","0","0.0748146528155158","0","0.167685763832967","0.327862201819747","0.153640128828606","0.71288357400722","1","1","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","0","1","0.525641025641026","0.410187667560322","0.00350652844470814","0","1","0","0","0","0","0","0","0.0840879890819221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.135263082698154","0.147108290231357","0.0287322507419693","0","0","0","0.428571428571429","0.0570270127507911","0.586949279537695"
"Cd","0","0.262661637931035","0.160603570245029","0","0","0.266666666666667","0","0","0","0","0","0","0","0.278624707101448","0.00178225991165395","0.087402123857809","0","0","0","0","0","0","0","0","0","0","0","0.309072796798754","0.0540862511565904","0","0","0","0.00033388948224782","0.166944907901873","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333333333333333","0","0","0.0361930294906166","0","0","0.257055778752975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0275471058433595","0.0179671006083751","0.00478916460254393","0","0","0.299237171757742","0.474148023174622","0.0697963830459673","0","0","0","0","0.0745777219794314","0.00556139169544908"
