compound,smiles
"2,4-DCP",Clc1ccc(c(c1)Cl)O
"2,5-DCP",Clc1ccc(c(c1)O)Cl
pPB,CCCOC(=O)c1ccc(cc1)O
bPB,CCCCOC(=O)c1ccc(cc1)O
BP-3,COc1ccc(c(c1)O)C(=O)c1ccccc1
TCS,Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl
Pb,Cl[Pb]Cl
Cu,[O-]S(=O)(=O)[O-].[Cu+2]
Se,[O-][Se](=O)[O-].[Na+].[Na+]
Cd,Cl[Cd]Cl
Sb,Cl[Sb](Cl)Cl
Co,Cl[Co]Cl
Ni,Cl[Ni]Cl
Zn,[O-]S(=O)(=O)[O-].[Zn+2]
Hg,C[Hg]Cl
PFOA,OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
PFNA,OC(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
TnBP2,CCCCOP(=O)(OCCCC)OCCCC
TPhP,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3
TCPP,ClCC(OP(=O)(OC(CCl)C)OC(CCl)C)C
EHDPHP,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2
TBOEP,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
TDCIPP,ClCC(OP(=O)(OC(CCl)CCl)OC(CCl)CCl)CCl
TEHP,CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC
